,year,optimized_LL,tested_LL
0,1979,0.6912670423881088,0.31274151787288124
1,1980,0.936481892384617,1.164925306247235
2,1981,0.09656535740862615,2.22988589609631
3,1982,1.727172970451999,0.45298981884532546
4,1983,0.29892952032245457,1.7226600905549014
5,1984,0.15332880185631964,1.4076650427159116
6,1985,1.06538948839112,0.6032816787179424
7,1986,0.3225300566928814,2.2788370163093155
8,1987,0.400762211132242,0.9421827386082301
9,1988,0.44600818401402204,2.568403844671499
10,1989,0.05046554737007651,7.298673415216523
11,1990,2.401060618280797,0.1535406508137023
12,1991,0.3454268161013177,0.520463591313943
13,1992,4.203400618772768,0.007199755276857752
14,1993,3.68120574761094,0.006294485579484916
15,1994,1.3621900717191395,0.1247634195514317
16,1995,0.6657980250434314,1.2946597652493532
17,1996,0.0,6.4352152141193795
18,1997,1.3867649525307535,0.22690357482665538
19,1998,1.2035831052747465,0.4161792682671891
20,1999,1.5355019618517887,0.15412590311979626
21,2000,0.10039457410518542,3.4001361417737166
22,2001,0.2860388499268215,0.7808743118569722
23,2002,0.1477849756190066,1.5849855611159147
24,2003,0.5565343310486208,0.7985989418568884
25,2004,1.100996995226962,0.3685596121095292
26,2005,0.5711521971475487,1.340809384243599
27,2006,1.451395969431137,0.17690339334680283
28,2007,0.3416732029975875,0.8155557378369368
29,2008,0.36609335499962514,0.5621041244140093
30,2009,0.39722206245440855,0.5411038094439491
31,2010,0.11111888671406076,5.6836078663839285
32,2011,3.0677714558126965,0.026774903359929467
33,2012,2.347610160045615,0.0611380607826999
34,2013,3.8929295293443045,0.0010639381902005864
35,2014,3.790931355479215,0.0009728602920344383
36,2015,0.19239932456807804,1.951823521920193
37,2016,0.8419882709100125,0.5797843480631558
38,2017,2.382965235351558,0.06675122094844561
39,2018,0.26724362452523903,1.7491037215030956
40,2019,3.84506500699463,0.0004698254820927427
41,2020,1.8892684116392056,0.10969748504170487
